brain_region,total_reads,age,sex,name,brain_region_category
ACC_12_R1,20152748,8.9,M,Trickster,ACC
ACC_14,12028460,8.9,M,Trickster,ACC
ACC_17,14600219,8.9,M,Trickster,ACC
ACC_2,26715175,8.9,M,Trickster,ACC
ACC_2B,14871871,27.0,F,Topaz,ACC
ACC_3,17799562,8.9,M,Trickster,ACC
ACC_3B,11326762,6.1,M,Vaan,ACC
ACC_4,18545050,21.7,F,Bubbles,ACC
ACC_47,11807611,26.0,F,Brene,ACC
ACC_48,8746904,26.0,F,Brene,ACC
ACC_7,21754250,8.9,M,Trickster,ACC
ACC_77,13502566,13.2,F,Rikku,ACC
ACC_78,14450084,13.2,F,Rikku,ACC
ACC_79,12502601,13.2,F,Rikku,ACC
ACC_8,14591232,8.9,M,Trickster,ACC
ACC_80,13420686,13.2,F,Rikku,ACC
LPFC_11,18875180,8.9,M,Trickster,LPFC
LPFC_13,28833879,8.9,M,Trickster,LPFC
LPFC_15,25035101,8.9,M,Trickster,LPFC
LPFC_16,24695419,8.9,M,Trickster,LPFC
LPFC_22,12715958,8.0,M,Boy Boy,LPFC
LPFC_4,13379094,8.9,M,Trickster,LPFC
LPFC_5,11253371,8.9,M,Trickster,LPFC
LPFC_6,23501358,8.9,M,Trickster,LPFC
LPFC_7,14864492,6.1,M,Vaan,LPFC
LPFC_72,8281997,13.2,F,Rikku,LPFC
LPFC_73,9303478,13.2,F,Rikku,LPFC
LPFC_74,14467933,13.2,F,Rikku,LPFC
LPFC_75,12257972,13.2,F,Rikku,LPFC
LPFC_76,11210187,13.2,F,Rikku,LPFC
LPFC_9,12376641,8.9,M,Trickster,LPFC
V1_11,11397686,21.7,F,Bubbles,V1
V1_49,16854551,26.0,F,Brene,V1
V1_51,13472311,26.0,F,Brene,V1
V1_52,13252045,26.0,F,Brene,V1
V1_8,5775480,21.7,F,Bubbles,V1
